accID,name,price,preowned,brand,color,extra,type
1,"Anacleto El Italiano III 5 Switch Compact GCF Accordion",8640.51,0,Hohner,White," ",Button
2,"Anacleto Rey Aguila Two Tone FBE/GCF Compact Accordion",8447,0,Hohner,"Blue Metallic"," ",Button
3,"Anacleto Rey Del Norte Two-Tone FBE/EAD Accordion",7865.71,0,Hohner,Black," ",Button
4,"Anacleto Rey Del Norte Two Tone GCF/FBE Accordion",7865.71,0,Hohner,"Space Black"," ",Button
5,"Anacleto Rey Del Norte Two Tone Compact FBE/EAD Accordion",7865.71,0,Hohner,White," ",Button
6,"Anacleto Rey Del Norte Two-Tone GCF/FBE Accordion",7865.71,0,Hohner,"Matte Black","Chrome Grille",Button
7,"Anacleto Rey Del Norte Two-Tone FBE/EAD Accordion",7865.71,0,Hohner,"Pearl White"," ",Button
8,"Anacleto Rey Del Norte Two-Tone EAD/FBE Accordion",7865.71,0,Hohner,Black,"Chrome Grille",Button
9,"Anacleto Rey Del Norte Two Tone Compact FBE/EAD Accordion",7627,0,Hohner,"Silver Glitter"," ",Button
10,"Norteno Two Tone FBE/EAD Compact Accordion",6555,0,Hohner,Red," ",Button
11,"Anacleto Norteno Two Tone Compact FBE/EAD Accordion",6555,0,Hohner,Red," ",Button
12,"Anacleto Norteno Two Tone Compact FBE/EAD Accordion",6554.51,0,Hohner,White/Chrome," ",Button
13,"FR-8XB Button-Type V-Accordion",6299.99,0,Roland,Black," ",Button
14,"Anacleto El Italiano III 5 Switch Compact GCF Accordion",8640.51,1,Hohner,Black," ",Button
15,"Anacleto Rey Especial FBE Accordion",8492,1,Hohner,Black," ",Button
16,"Anacleto Rey Del Norte III Compact GCF Accordion",7493,1,Hohner,"Gun Metal Gray Metallic"," ",Button
17,"CXFR Corona II Xtreme FBbEb Button Accordion",4089,0,Hohner,Red," ",Button
18,"Corona II Xtreme GCF Accordion",4089,0,Hohner,White," ",Button
19,"Corona C-II FBE Diatonic Accordion",2169,0,Hohner,"Silver Rainbow"," ",Button
20,"FR-1XB Button-Type V-Accordion",2099.99,0,Roland,Black," ",Button
21,"FR-1x Piano-Type V-Accordion",1999.99,0,Roland,Black," ",Piano
22,"Aces II EAD 3 Register Accordion",3209,1,Hohnica,Black," ",Button
23,"Corona C-II FBbEb Diatonic Accordion",2169,1,Hohner,"Green to Gold"," ",Button
24,"Corona II 3500 GCF Button Accordion",2109,0,Hohner,Red," ",Button
25,"Compadre FBbEb",1604,0,Hohner,Orange,"Gig Bag",Button
26,"Hohnica 1304 48 Bass Student Piano Accordion",834,0,Hohner,Red," ",Piano
27,"Panther GCF Accordion 3-Row Diatonic Accordion",1129,0,Hohner,"Not Listed"," ",Button
28,"Student XII 26 Treble/18 Bass Piano Accordion",719,0,Hohnica,Black," ",Piano
29,"Hohnica 1303 12 Bass Student Piano Accordion",769,0,Hohner,Red," ",Piano
30,"Hohnica 1304 48 Bass Student Piano Accordion",834,1,Hohner,Red," ",Piano
31,"Student XII 26 Treble/18 Bass Piano Accordion",719,1,Hohnica,Black," ",Piano
32,"Student X 22 Treble/8 Bass Piano Accordion",439,0,Hohnica,Black," ",Piano
33,"Student X 22 Treble/8 Bass Piano Accordion",439,1,Hohnica,Black," ",Piano
34,"Piano Accordion w/ Hardshell Case",275,1,Princetti,"Not Listed"," ",Piano
35,"Anacleto Rey Aguila Two Tone FBE/GCF Compact Accordion",0,0,Hohner,Black," ",Button
